SKU ID,Category,Subcategory,Brand,Gender,Price
P0001,Apparel,T-Shirts,ModeStreet,Men,13.9
P0002,Apparel,Shirts,UrbanEdge,Men,43.95
P0003,Apparel,Jeans,UrbanEdge,Men,71.49
P0004,Apparel,Trousers,TrendAura,Women,71.99
P0005,Apparel,Dresses,LuxeLine,Women,190.9
P0006,Apparel,Skirts,UrbanEdge,Women,48.9
P0007,Apparel,Tops,TrendAura,Women,36.99
P0008,Apparel,Jackets,ModeStreet,Women,86.49
P0009,Apparel,Skirts,ModeStreet,Women,55.49
P0010,Apparel,Skirts,ModeStreet,Women,54.9
P0011,Apparel,Shirts,LuxeLine,Women,69.49
P0012,Apparel,Trousers,LuxeLine,Men,115.99
P0013,Apparel,Jeans,ModeStreet,Men,54.99
P0014,Apparel,Jeans,ModeStreet,Men,54.95
P0015,Apparel,Jackets,LuxeLine,Unisex,203.49
P0016,Apparel,Jackets,ModeStreet,Unisex,123.49
P0017,Apparel,Trousers,LuxeLine,Men,126.95
P0018,Apparel,Jeans,ActiveCore,Men,59.9
P0019,Apparel,Jeans,NovaWear,Women,71.95
P0020,Apparel,T-Shirts,ActiveCore,Men,23.95
P0021,Apparel,Jackets,UrbanEdge,Unisex,75.95
P0022,Apparel,Shirts,TrendAura,Men,39.49
P0023,Apparel,Jackets,LuxeLine,Women,142.95
P0024,Apparel,Jeans,TrendAura,Men,93.99
P0025,Apparel,Jeans,NovaWear,Men,57.99
P0026,Apparel,Skirts,ModeStreet,Women,36.99
P0027,Apparel,Dresses,LuxeLine,Women,149.99
P0028,Apparel,Dresses,TrendAura,Women,56.9
P0029,Apparel,Dresses,NovaWear,Women,75.49
P0030,Apparel,Dresses,NovaWear,Women,97.9
P0031,Apparel,Skirts,NovaWear,Women,45.99
P0032,Apparel,Trousers,ModeStreet,Men,50.99
P0033,Apparel,Dresses,UrbanEdge,Women,107.99
P0034,Apparel,Jeans,NovaWear,Men,89.49
P0035,Apparel,Skirts,TrendAura,Women,31.9
P0036,Apparel,Trousers,ModeStreet,Women,59.95
P0037,Apparel,Dresses,ModeStreet,Women,58.49
P0038,Apparel,Dresses,LuxeLine,Women,88.49
P0039,Apparel,Jackets,UrbanEdge,Women,91.95
P0040,Apparel,Tops,ModeStreet,Women,31.49
P0041,Apparel,Shirts,NovaWear,Men,28.99
P0042,Apparel,Shirts,ActiveCore,Men,53.95
P0043,Apparel,Tops,NovaWear,Women,28.49
P0044,Apparel,Dresses,LuxeLine,Women,137.49
P0045,Apparel,Shirts,UrbanEdge,Women,38.9
P0046,Apparel,Trousers,TrendAura,Women,53.95
P0047,Apparel,Jeans,ActiveCore,Women,75.99
P0048,Apparel,Trousers,ModeStreet,Women,44.99
P0049,Apparel,Tops,TrendAura,Women,33.49
P0050,Apparel,Dresses,ActiveCore,Women,100.95
P0051,Apparel,Jeans,NovaWear,Men,76.9
P0052,Apparel,Jeans,ModeStreet,Women,49.49
P0053,Apparel,Trousers,ModeStreet,Men,30.95
P0054,Apparel,Shirts,ModeStreet,Women,31.99
P0055,Apparel,Jeans,LuxeLine,Men,98.95
P0056,Apparel,Dresses,UrbanEdge,Women,85.99
P0057,Apparel,Jeans,ActiveCore,Men,71.99
P0058,Apparel,Jackets,UrbanEdge,Unisex,70.99
P0059,Apparel,Jeans,TrendAura,Men,55.99
P0060,Apparel,Shirts,NovaWear,Men,23.99
P0061,Apparel,Dresses,UrbanEdge,Women,99.99
P0062,Apparel,Tops,UrbanEdge,Women,34.95
P0063,Apparel,Dresses,TrendAura,Women,96.99
P0064,Apparel,Jackets,UrbanEdge,Unisex,107.99
P0065,Apparel,Dresses,LuxeLine,Women,117.99
P0066,Apparel,Jeans,TrendAura,Men,92.95
P0067,Apparel,Dresses,ActiveCore,Women,49.95
P0068,Apparel,T-Shirts,TrendAura,Men,27.49
P0069,Apparel,Jeans,ActiveCore,Men,64.99
P0070,Apparel,Jeans,ActiveCore,Men,97.99
P0071,Apparel,Trousers,NovaWear,Men,72.95
P0072,Apparel,Tops,UrbanEdge,Women,36.9
P0073,Apparel,Tops,ModeStreet,Women,33.99
P0074,Apparel,Jackets,NovaWear,Men,144.99
P0075,Apparel,T-Shirts,LuxeLine,Unisex,37.95
P0076,Apparel,Jeans,TrendAura,Women,65.99
P0077,Apparel,Dresses,LuxeLine,Women,87.49
P0078,Apparel,Jackets,LuxeLine,Men,174.99
P0079,Apparel,Shirts,UrbanEdge,Women,54.95
P0080,Apparel,Jeans,NovaWear,Women,79.49
P0081,Apparel,Jeans,ModeStreet,Women,49.99
P0082,Apparel,Shirts,TrendAura,Men,43.95
P0083,Apparel,T-Shirts,TrendAura,Unisex,41.49
P0084,Apparel,T-Shirts,LuxeLine,Women,35.99
P0085,Apparel,Trousers,LuxeLine,Men,80.49
P0086,Apparel,Trousers,ModeStreet,Men,48.9
P0087,Apparel,Jackets,ActiveCore,Unisex,107.9
P0088,Apparel,T-Shirts,ModeStreet,Women,18.99
P0089,Apparel,Trousers,UrbanEdge,Women,69.99
P0090,Apparel,Tops,NovaWear,Women,45.99
P0091,Apparel,Jeans,NovaWear,Women,83.9
P0092,Apparel,Trousers,TrendAura,Men,53.95
P0093,Apparel,Shirts,UrbanEdge,Women,44.95
P0094,Apparel,Jeans,ActiveCore,Men,60.9
P0095,Apparel,Dresses,NovaWear,Women,75.49
P0096,Apparel,Tops,UrbanEdge,Women,33.99
P0097,Apparel,Jeans,NovaWear,Women,58.49
P0098,Apparel,Dresses,ModeStreet,Women,68.95
P0099,Apparel,Trousers,ModeStreet,Women,53.49
P0100,Apparel,Jeans,UrbanEdge,Men,42.95
P0101,Apparel,T-Shirts,UrbanEdge,Women,26.99
P0102,Apparel,Tops,UrbanEdge,Women,22.9
P0103,Apparel,Dresses,TrendAura,Women,103.99
P0104,Apparel,Shirts,LuxeLine,Women,85.49
P0105,Apparel,T-Shirts,UrbanEdge,Unisex,14.99
P0106,Apparel,Shirts,ActiveCore,Women,43.99
P0107,Apparel,Dresses,UrbanEdge,Women,94.99
P0108,Apparel,Jeans,ActiveCore,Women,67.95
P0109,Apparel,Tops,NovaWear,Women,24.99
P0110,Apparel,Tops,TrendAura,Women,47.95
P0111,Apparel,Jackets,ActiveCore,Unisex,119.95
P0112,Apparel,Jeans,ActiveCore,Men,66.99
P0113,Apparel,Tops,UrbanEdge,Women,34.95
P0114,Apparel,Dresses,ModeStreet,Women,82.99
P0115,Apparel,Skirts,UrbanEdge,Women,69.9
P0116,Apparel,Trousers,LuxeLine,Men,109.9
P0117,Apparel,Trousers,ModeStreet,Women,62.49
P0118,Apparel,Dresses,ModeStreet,Women,104.99
P0119,Apparel,Jackets,UrbanEdge,Women,122.9
P0120,Apparel,Jackets,UrbanEdge,Men,98.95
P0121,Apparel,Dresses,ActiveCore,Women,134.95
P0122,Apparel,T-Shirts,ModeStreet,Women,17.99
P0123,Apparel,Jeans,LuxeLine,Women,94.99
P0124,Apparel,T-Shirts,ModeStreet,Men,18.9
P0125,Apparel,Shirts,LuxeLine,Men,101.99
P0126,Apparel,Dresses,NovaWear,Women,45.99
P0127,Apparel,Jackets,NovaWear,Women,95.99
P0128,Apparel,Jackets,ActiveCore,Unisex,136.99
P0129,Apparel,Dresses,UrbanEdge,Women,80.49
P0130,Apparel,Jeans,UrbanEdge,Men,116.49
P0131,Apparel,Jeans,LuxeLine,Women,73.49
P0132,Apparel,Tops,ModeStreet,Women,26.99
P0133,Apparel,T-Shirts,UrbanEdge,Unisex,33.9
P0134,Apparel,Trousers,ActiveCore,Women,64.99
P0135,Apparel,Trousers,LuxeLine,Women,80.95
P0136,Apparel,Jeans,UrbanEdge,Men,71.9
P0137,Apparel,T-Shirts,ActiveCore,Women,35.49
P0138,Apparel,Jackets,ActiveCore,Unisex,70.49
P0139,Apparel,Shirts,UrbanEdge,Women,30.49
P0140,Apparel,Jeans,ActiveCore,Men,93.9
P0141,Apparel,Jeans,TrendAura,Women,67.99
P0142,Apparel,Skirts,ModeStreet,Women,61.49
